ts,client,query,type,response,rcode,latency_ms
2026-03-10T00:00:00.000Z,FIN-WS31,box.com,A,140.82.112.5,NOERROR,36
2026-03-10T00:01:36.092Z,FIN-WS22,updates.microsoft.com,A,13.107.42.14,NOERROR,23
2026-03-10T00:03:25.518Z,MAC-DEV-17,login.microsoftonline.com,A,74.112.186.55,NOERROR,35
2026-03-10T00:04:02.165Z,FIN-WS22,login.microsoftonline.com,A,13.107.42.14,NOERROR,45
2026-03-10T00:05:53.696Z,FIN-WS31,cdn.slack.com,A,140.82.112.5,NOERROR,21
2026-03-10T00:07:56.287Z,BLD-RUN-02,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,71
2026-03-10T00:10:35.003Z,MAC-DEV-17,registry.npmjs.org,A,52.92.128.17,NOERROR,64
2026-03-10T00:13:05.350Z,RSCH-JUP-03,registry.npmjs.org,A,74.112.186.55,NOERROR,6
2026-03-10T00:15:29.003Z,BLD-RUN-02,api.github.com,A,74.112.186.55,NOERROR,30
2026-03-10T00:16:37.693Z,RSCH-JUP-03,cdn.slack.com,A,140.82.112.5,NOERROR,51
2026-03-10T00:18:56.463Z,RSCH-JUP-03,api.github.com,A,140.82.112.5,NOERROR,48
2026-03-10T00:20:28.874Z,MAC-DEV-04,login.microsoftonline.com,A,140.82.112.5,NOERROR,62
2026-03-10T00:22:59.606Z,MAC-DEV-04,box.com,A,74.112.186.55,NOERROR,60
2026-03-10T00:24:21.491Z,FIN-WS31,api.github.com,A,52.92.128.17,NOERROR,54
2026-03-10T00:26:56.936Z,FIN-WS31,updates.microsoft.com,A,52.92.128.17,NOERROR,58
2026-03-10T00:28:31.830Z,BLD-RUN-02,cdn.slack.com,A,140.82.112.5,NOERROR,40
2026-03-10T00:29:51.409Z,FIN-WS31,cdn.slack.com,A,52.92.128.17,NOERROR,59
2026-03-10T00:30:56.337Z,RSCH-JUP-03,registry.npmjs.org,A,52.92.128.17,NOERROR,46
2026-03-10T00:31:42.992Z,RSCH-JUP-03,cdn.slack.com,A,140.82.112.5,NOERROR,9
2026-03-10T00:33:00.276Z,BLD-RUN-02,api.github.com,A,52.92.128.17,NOERROR,13
2026-03-10T00:35:15.332Z,FIN-WS22,registry.npmjs.org,A,74.112.186.55,NOERROR,51
2026-03-10T00:37:59.668Z,MAC-DEV-04,api.github.com,A,52.92.128.17,NOERROR,27
2026-03-10T00:40:50.472Z,MAC-DEV-17,updates.microsoft.com,A,13.107.42.14,NOERROR,13
