UtcTime,Computer,User,EventID,Image,CommandLine,ParentImage,DestinationIp,DestinationPort,Hashes
2026-03-10 00:00:00.000,LINUX-JUMP-01,svc-export,1,node,"node",cmd.exe,,,SHA256=0002f92b7961f4b90002f92b7961f4b90002f92b7961f4b90002f92b7961f4b9
2026-03-10 00:11:17.360,ENG-MAC-17,jamie.patel,1,git,"git",systemd,,,SHA256=000b3421acd78a5c000b3421acd78a5c000b3421acd78a5c000b3421acd78a5c
2026-03-10 00:21:30.684,ENG-MAC-17,jamie.patel,1,python3,"python3",systemd,,,SHA256=0021d03ee1e07e2c0021d03ee1e07e2c0021d03ee1e07e2c0021d03ee1e07e2c
2026-03-10 00:32:07.249,LINUX-JUMP-01,taylor.owens,1,slack.exe,"slack.exe",explorer.exe,,,SHA256=00011d1a95fa4e3200011d1a95fa4e3200011d1a95fa4e3200011d1a95fa4e32
2026-03-10 00:35:50.413,FIN-WS17,svc-export,1,chrome.exe,"chrome.exe",cmd.exe,,,SHA256=00020ff0e83e7c5d00020ff0e83e7c5d00020ff0e83e7c5d00020ff0e83e7c5d
2026-03-10 00:46:46.262,LINUX-JUMP-01,svc-export,1,outlook.exe,"outlook.exe",explorer.exe,,,SHA256=0012c40ab301eee80012c40ab301eee80012c40ab301eee80012c40ab301eee8
2026-03-10 00:50:18.910,LINUX-JUMP-01,taylor.owens,1,python3,"python3",launchd,,,SHA256=001e8f61bba1e19c001e8f61bba1e19c001e8f61bba1e19c001e8f61bba1e19c
2026-03-10 01:01:29.464,BLD-RUN-02,svc-export,1,git,"git",explorer.exe,,,SHA256=00089ab7a5fc6de700089ab7a5fc6de700089ab7a5fc6de700089ab7a5fc6de7
2026-03-10 01:10:59.448,LINUX-JUMP-01,svc-export,1,git,"git",systemd,,,SHA256=0021e36e492029fa0021e36e492029fa0021e36e492029fa0021e36e492029fa
2026-03-10 01:22:05.261,ENG-MAC-17,riley.kapoor,1,git,"git",cmd.exe,,,SHA256=00162fc7da0b376100162fc7da0b376100162fc7da0b376100162fc7da0b3761
